hyponym,hypo-definition,hypernym,hyper-definition
doubtful,"""open to doubt or suspicion""",ambiguous,"""open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead"""
dreadful,"""causing fear or dread or terror""",scary,"""provoking fear or terror"""
driving,"""having the power of driving or impelling""",powerful,"""having great power or force or potency or effect"""
driving,"""having the power of driving or impelling""",propelling,"""cause to move forward with force"""
drunk,"""stupefied or excited by a chemical substance (especially alcohol)""",altered,"""changed in form or character without becoming something else"""
drunk,"""stupefied or excited by a chemical substance (especially alcohol)""",affected,"""acted upon; influenced"""
dry,"""free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet""",desiccated,"""thoroughly dried out"""
dry,"""free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet""",waterless,"""lacking sufficient water or rainfall"""
dry,"""free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet""",parched,"""dried out by heat or excessive exposure to sunlight"""
dual,"""consisting of or involving two parts or components usually in pairs""",binary,"""of or pertaining to a number system have 2 as its base"""
dual,"""consisting of or involving two parts or components usually in pairs""",composite,"""consisting of separate interconnected parts"""
due,"""owed and payable immediately or on demand""",financial,"""involving financial matters"""
due,"""owed and payable immediately or on demand""",obligatory,"""morally or legally constraining or binding"""
due,"""owed and payable immediately or on demand""",outstanding,"""distinguished from others in excellence"""
dull,"""lacking in liveliness or animation""",lifeless,"""deprived of life; no longer living"""
dull,"""lacking in liveliness or animation""",unexciting,"""not stimulating"""
dull,"""lacking in liveliness or animation""",flat,"""having a surface without slope, tilt in which no part is higher or lower than another"""
dull,"""not having a sharp edge or point""",smooth,"""having a surface free from roughness or bumps or ridges or irregularities"""
dull,"""not having a sharp edge or point""",flat,"""having a surface without slope, tilt in which no part is higher or lower than another"""
dynamic,"""characterized by action or forcefulness or force of personality""",powerful,"""having great power or force or potency or effect"""
eager,"""having or showing keen interest or intense desire or impatient expectancy""",motivated,"""provided with a motive or given incentive for action"""
eager,"""having or showing keen interest or intense desire or impatient expectancy""",keen,"""having or demonstrating ability to recognize or draw fine distinctions"""
early,"""at or near the beginning of a period of time or course of events or before the usual or expected time""",prior,"""earlier in time"""
early,"""at or near the beginning of a period of time or course of events or before the usual or expected time""",premature,"""born after a gestation period of less than the normal time"""
early,"""at or near the beginning of a period of time or course of events or before the usual or expected time""",temporal,"""not eternal"""
early,"""at or near the beginning of a period of time or course of events or before the usual or expected time""",preceding,"""existing or coming before"""
eastern,"""of or characteristic of eastern regions of the United States""",geographic,"""of or relating to the science of geography"""
eastern,"""of or characteristic of eastern regions of the United States""",local,"""relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area"""
easy,"""posing no difficulty; requiring little effort""",manageable,"""capable of being managed or controlled"""
easy,"""posing no difficulty; requiring little effort""",effortless,"""requiring or apparently requiring no effort"""
educational,"""relating to the process of education""",cognitive,"""of or being or relating to or involving cognition"""
